question,answer
do we get certificate after course completion?,yes you will get the one after course completion with all assignments completed.
you have any contacts or recruiters in usa and canada?,we are providing a job guarantee program in india and the usa. the only reason behind not providing this job guarantee program in other countries is that we do not have relationships with the companies in those countries. but what we are confident about is if you complete the given course and assignments you will surely be able to land in a ml job. for any other queries please drop an email to team@appliedaicourse.com
i am trying to do an assignment of using grid search and random search cv to determine k fold cross validation. here sklearn.make_classification module is used as reference. while seeing the how module is used in this link https://scikit-learn.org/stable/modules/generated/sklearn.datasets.make_classification.html. i cannot get what is told here regarding what is the purpose of using this i cannot understand clearly all terms in this link such as 2 class_sep n_informative n_redundant. is there any link that you can provide so that i can have clarification about this module make_classification?,please refer this blog : https://towardsdatascience.com/https-medium-com-faizanahemad-generating-synthetic-classification-data-using-scikit-1590c1632922
hi i am interested in taking this course. does this come with the certification too and how long till i get the certification?,yes you will get a certificate after the completion of course successfully. you need to complete all the assignments.
hi team i just want to enroll for applied machine learning online course. can i get any promo code for the same?. thanks,please contact the mobile number which was given in the website or write a mail to us.
i am completing the lectures but no increase in percentage,after watching a lecture video please press the complete button placed at the top right side as shown in this picture.
hello team due to some personal i am not able to do this course and submit an assignment is it possible to extend my course validity date it will be really helpful.,please drop a mail to team@appliedaicourse.com regarding this query so that we can assist you better.
i would like to enroll for this course but i have zero knowledge in programming. my complete 7 years of experience has been into client service and management. i have done b.com and mba finance . kindly advise.,please drop a mail at team@appliedaicourse.com. we will guide you accordingly.
in the assignment of tf-idf vectorizer in task 1. give some hint to solve i have computed both tf ad idf values and after multiplying i am getting totally different answers than given in the notebook,please drop a mail to team@appliedaicourse.com regarding this assignment query so that we can assist you better.
hi sir it finds very difficult to watch videos and read commends as every video has more than 200 commends and its very time consuming also. could you please help us with your approach to tackle this problem and complete this course?,watch videos in sequence and read top 10-15 comments after watching a video.
hi are people from kenya allowed to join this course?,yes they are allowed.
are oops concepts of python covered in this course???,no they are not explicitly covered. all the basics to build machine learning models are covered.
is there any cloud aws azure gcp machine learning certification needed besides this course for doing better in career?if yes which one is better? please give your suggestion.,no there is not such hard requirement of any other certification needed. and it also depends a lot on the skill that you want to add along with ml and dl. do not look for certificates to do. look for the skills to add.
hi team i come from a non-technical background and zero experience on coding. am working as a recruiter from a decade closely. will this course help me.,please drop a mail at team@appliedaicourse.com with all your details and the questions contact details if possible.
hi is there a notebook containing all the content taught here that i could download?,we provide gdrive links to content/ipynb notebooks under respective video lectures/modules.
how can i find it? for example where's the notebook for the content covered in the linear algebra portion?,please download the notes of this course prepared by one of the course participants.
q4: students marks dashboard consider the marks list of class students given two lists students 'student1' 'student2' 'student3' 'student4' 'student5' 'student6' 'student7' 'student8' 'student9' 'student10' marks 45 78 12 14 48 43 45 98 35 80 from the above two lists the student 0 got marks 0 student 1 got marks 1 and so on. in this question..... there is a correction in 4 c . the output should not contain 35. the 25th percentile value is 37. how 25th percentile is 37 sorted_list 12 14 35 43 45 47 48 78 80 98 median 45 47 /2 46 new_list 12 14 35 43 46 48 78 80 98 new_median 46 left_side 12 14 35 43 so 25th percentile 14 35 /2 24.5 explain how it is 37,there are different formulae which can be used to calculate percentiles. please try using linear interpolation to get the answer.
i was looking for data science course as i saw your video of how all this intersect should i go for this course will it cover the all syllabus of data science which other institute are offering if there some exception please let me know,please drop us an email to team@appliedaicourse.com regarding your queries along with your contact number so that we will help you in person.
in one problem of python mandatory assignment i had refered geeks for geeks so that logic i have applied after understanding so basically 90 code is almost same so that will count as plagiarism or else i write in code that taken reference from geeks for geeks,please mention all the references taken in your notebook.
q2: select a number randomly with probability proportional to its magnitude from the given array of n elements consider an experiment selecting an element from the list a randomly with probability proportional to its magnitude. assume we are doing the same experiment for 100 times with replacement in each experiment you will print a number that is selected randomly from a. ex 1: a 0 5 27 6 13 28 100 45 10 79 let f x denote the number of times x getting selected in 100 experiments. f 100 f 79 f 45 f 28 f 27 f 13 f 10 f 6 f 5 f 0 in this question of python mandatory assignment. can you please give example of the output. i am not able to understand that what will be the output of this type of problem.,please look into proportional sampling video in probability and statistics chapter. this problem has been discussed there.
i am a beginner in competitive programming so should i focus more on my competitive programming before joining this course or kaggle competition will help me after this course?,there are no prerequisites for this course. if you are a beginner in ml world it is recommended to learn the concepts of ml first before trying them. else you can learn from this course and kaggle parallelly.
hey as you mentioned that after 15 assignments the mock interview will start. so in that 15 assignments those optional 2 python ass. is considered or not?,optional assignments are not considered. only mandatory assignments are considered. once you finish 15 assignments please send an email to team@appliedaicourse.com
hi team i am not able to view my sql_assignment_reference.ipynb and imdb-assignment.db files in my sql assignment its asking me to install a new app? how can i open these files?,please send us an email to team@appliedaicourse.com with your anydesk ip addess and contact number so that we could get back to you and assist you better by remoting into your pc.
hi team in python mandatory assignment some body of code like function name and all is already made and given by you. so what if we write the code without function?. it is necessary to write function. because in 1 problem i am getting answer without using function.,it is recommended to use functions. please follow all the given instructions.
hello aaic team can i use macbook for data science or machine learning or deep learning? because heard somewhere that could not use macbook for all this,yes you can use the macbook. but training deep learning models will be difficult on mac. you need nvidia egpu for your mac. it takes time but doable.
hi team it is valid if we ask question of the assignment in stack overflow or git hub?,you can always ask questions related to concepts on any platform
all of a sudden my laptop got crashed unfortunately my whole notes was in that laptop. if anyone do not mind please share the notes.,please try to keep a copy of your notes on google drive also so that you will always have a backup.
what version of tensorflow is used in the course?,we have used tf 1.0 in videos. there are live sessions on tf 2.0
hello sir i am a mechanical engineer about to start career in it i am confused in web development and ai career. i have already started html css bootstrap java script still confused as i see the pay is low .on the other end ai is paying high bt the number of vacancy is low compared to web development and course is lengthy. at this point i am finding job and i have two option to learn react and make career in web development dont know if i need to learn other stuff to for front end developer . secondly freshly start career in ai and try to get good package at start.,since you already have some skills in web development please try to learn the rest and try to get a decent job then parallelly try to learn the ai concepts. happy learning.
hi team i have one small question. i have realised that with continuous revision i have a very strong hold of the concepts taught in the course and i almost know the nitty gritty of almost every course video's topics however i tend to forget about the good things that i read from blogs. i tend to make notes of something good that i encounter in a blog but if i keep making notes of every blog now and then the notes would get so big that i would barely be able to revise them. so how do i efficiently remember the interesting things from the blogs? any suggestion? i know this varies from person to person but still if you could give some tips it would be helpful.,dont write long notes instead read those blogs and write summaries in your words and keep on revising / reading that summary so that it will be easy and time consuming.
hi team wanted to give a feedback about the comment section where in we write a comment. when we try to write a long comment it is really tough to scroll through such a small comment block could you please increase the size of the comment box? same goes with editing response which is even smaller so it becomes quite difficult to see which part we wanted to edit. thanks,thank you for your suggestion.
can you please give some insights of this if suppose i am looking for a course which also explains me the algorithm source code as well say for example knn classifier class sklearn.neighbors.kneighborsclassifier n_neighbors 5 weights 'uniform' algorithm 'auto' leaf_size 30 p 2 metric aminkowski' metric_params none n_jobs none kwargs source 1.looking for a course which teaches not just sklearn packages and how to use it but explain the mathamatical intuition which seems to be present alrdy in the course but also the source code of the same function...without using sklearn packages 2.want to implement most of the algorithm whithout actually using sklearn or scipy.,we teach you the mathematics behind the working of ml models so you can write code from scratch very easily. yes you can implement the ml models after completing this course.
i would love to enroll this course but the amount is more......can i get any coupons other than emi.,please drop an email at team@appliedaicourse.com we will get back to you.
hi thanks for the last reply.. another one question from my side which modules covers 1. time series analysis 2. text mining?,text mining is covered in 3rd module while you will find content related to time series analysis in 5th module.
i also want to learn data science course. but what about placement records?,kindly drop or call at our given phone no/email for the same. we will surely help you with that.
hi team new to this field just want a kick start..three questions are popping up 1. all the ml algos has covered here ? 2. which module covers the topic deploying ml models? 3. is the job guarantee there till 12 months after the course completion date?,1. all the algorithms which are mainly used in the real world are included in this course. like random forest gbdt logistic regression linear regression svm cnn lstm gru mlp t-sne pca etc. slightly advanced topics like transformers bert yolo v3 gans attention models also have been included as live sessions. 2. module 5 click on this link. 3. job guarantee promise is valid even after 6 months of the course completion date given that you have completed a ll the assignments by following the instructions. but you can not access the course content after 12 months. happy learning
macbook air dual core-10th gen i3-1.1ghz 8gb 256gb ssd is good configuration to do this course,yes it's fine.
hi i am noob in this field and not know much now but i want to ask : in this course we would implement everything using sklearn library or by matrics and formulas?,for implementing the projects we use sklearn for ml models and tf.keras for dl models. but there are some assignments in which students need to write code scratch for understanding things like tf-idf vectorizer bow vectorizer bootstrapping gradient descent algorithm etc. we have given step by step instructions to do these assignments.
hey in module 6 regarding the case studies are they projects which we work on and can put on our resume?,they are two kinds of projects that you will do as part of this course: 1. case studies in the course: these are the projects that will use to teach you how to solve real-world problems using machine learning along with other concepts within these case studies. you can showcase them as projects you have done in your portfolio. ofcourse to stand out you have to tweak them and further do the work by yourself. 2. self case studies: these are the projects that you will do all by yourself right from the start to end. you can absolutely put these projects in your portfolio.
hi team i just want to clarify about the assignment no 3 python mandatory assignment how much of the course should i complete for me to be able to complete the above shown assignment,do it after module 3
hi do you provide aws ml course ? please mail me the details on my id sushmitavashisht89@gmail.com,no we donot provide aws ml course
hello aaic plz reply i am going to enroll in ure course so plz tell a is the topics of data analysis mentioned are covered or not: 1 data exploration via excel/google sheets 2 data extraction with sql 3 data visualization via tableau 4 data automation via python 5 data analysis/science with python stat libraries b data management and data wrangling in hadoop or spark is covered or not? c etl pipeline topic is covered or not? d can anyone become a data scientist and machine learning engineer after completing course content provided by aaic? plz reply i am waiting so that sooner i ll enroll in this course,a. 1. no you can ask for a live session on this topic 2. yes 3. no you can ask for a live session on this topic 4. yes 5. yes b. we have a recorded live session on this topic c. yes d. yes if you can complete the assignments without plagiarism then we can definitely help you find your dream job. happy learning... to help you take better decision please visit this link.
1 is every data science topics are covered in this course. 2 can anyone get data science job through this course. 3 etl pipeline is covered? 4 deep learning is fully covered or not? 5 if deep learning covered then keras or tensorflow is covered?,1 we have covered the most of the content in this course. our course is a content rich both breadth wise and depth wise . 2 definitely after you finish all the assignments successfully and clear the mock interviews and build a strong portfolio we will assist you in building a strong portfolio . 3 you will get hands on experience of it when you work on realtime case studies. 4 we have covered deep learning till data and also we keep adding more and more advancements in this course. this is not the end of the course. as time keeps progressing all the advancements in ml/dl will be added in this course. 5 we have discussed both keras as well as tensorflow in this course. also you are supposed to use these modules only while working on assignments and case studies.
one suggestion @applieaicourse you guys should write blog for every major topic which shold be accessible to only course participant,thanks for the suggestion.
in the syllabus in classroom app we are told to complete module 8 first for case study 11. when we open module 8 we have encoder- decoder models live session in which one of the prerequisites is case study 12. which should i prefer?,first complete module 8 then go for case study 11 and 12
hey i just wanted to ask is ml/dl getting replaced by cloud services it getting a job in ml/dl not going to be favorable?,what do you mean by cloud services here? there are so many cloud services out there. if you are talking about the vision api audio api of tech giants like google. then the answer is no. these apis/services are not going to replace ml/dl jobs. they just solve a very specific problem we still need ml/dl engineers to solve various problems in industry.
i just got introduced to this website through a friend and the content interests me a lot. wanted to understand if the contents inside the 30 modules gets revised with new case studies/assignments/subject areas at regular intervals based on the market trends/student reviews,we have a live session module where based on student's mostly requested new topic's instructor pick it up and go end to end for about 2hrs. like for example we had a 2hrs session how to build a chatbot
hi team my dought is regarding the assignments. what if we get a dought and get stuck with the assignment problem will there be any assistance coming from your side ?,yes you can just send us mail to team@appliedaicourse.com and we will help you out further.
hey this is just a suggestion but could you add another module which is has popular interview questions with company tags like a compilation of questions that has been asked by that company since the aaic team has an idea of questions asked by the company or you could get those questions from people who have successfully got a job from aaic platform,actually we do not want to confuse the students by adding more and more modules. but at the end of every topic we have a module called interview questions associated with that algorithm and we are adding all the interview questions in that odule itself so that it would be the one and only place where all the interview questions are available instead of having multiple modules and keep moving here and there.
hello i am an mechanical engineering student 3 rd year and i want to switch my career into ai field can you suggest me is it a good choice to join or maybe we need some programming background experience in it and as i am fresher and no experience,since you are in 3rd year of your b.tech you have ample amount of time to learn the skills needed to transform your career so you can directly join this course. there are no prerequisites for this course everything needed to this course is already included in this including the coding python also. happy learning
is it mandatory for me to go through all live sessions due to time contsraint,they are optional.
hey could use suggest a good book/guide for machine learning as it will be useful do it side by side with this course? is machine learning using pythonby u dinesh kumar manaranjan pradhan good? or are there better ones?,please refer this
sir i would like to ask about the job guarantee process. do the job guarantee process guarantee that the new job will be offering you more than the current package we are currently drawing from the present company?,it depends on your previous work experience and the level of the skill you learn the projects you work on during this course and the type of companies you are attending the interviews.
hi team after completing each and every chapter/module should i go to classroom and check if there is any assignment on the same or are there any specific chapters in the syllabus for assignments as it was for eda? thanks.,you can check syllabus at classroom.appliedcourse.com. we have discussed which modules you need to cover for each assignment.
i had this doubt please clarify related to curse of dimentionality 20/06/20 4:11:52 pm abhishek lomsh: i want to maintain data density when increasing dimension of my data 20/06/20 4:12:27 pm abhishek lomsh: i am told to maintain 50 density i would have to add 2 n-1 unique points where n is dimension 20/06/20 4:13:01 pm abhishek lomsh: 20/06/20 3:52:54 pm abhishek lomsh: how would the formula change if say i want to maintain 20 density? 20/06/20 3:56:58 pm abhishek lomsh: also are we assuming that each dimension that we add will have 2 possible outcomes? when we ise 2 n-1 20/06/20 3:58:33 pm abhishek lomsh: i had 20 dimensions with binary values and if i add a dimension with 3 possible values i would use 3 n-1 or something else? 20/06/20 4:00:35 pm abhishek lomsh: i think the formula would change based on what percentage i want to maintain and what are the unique outputs of new dimension not sure how it would change,please post your comment under the appropriate video page. or please send an email to team@appliedaicourse.com
live sessions that have been added as course video like in module 9 of elastic search do not reflect in course completion percentage will it be added to id or that will remain seperate?,they are not included in course completion percentage.
can you upload the list of 30 assignments that are mandatory for job guarantee? or send it to mail?,if you are a registered student you can find those in classrooms otherwise mail to team@appliedaicourse.com regarding this
in python mandatory assignment 5th qn the user will give the input string in list of tuples format or we have to convert it to that format after getting it from user?,please drop a mail along with your query at team@appliedaicourse.com so that we can help you better.
srikanth varma chekuri sir i want to know how you learned all of this things and how i can learn more about ai ml dl and data science. please reply,learning is an ongoing process which never stops. so we learn as we get more experienced. please drop a mail at team@appliedaicourse.com so that we can help you with better assistance.
hi i wanted to know is this completely online course or offline classes we need to attend??,it is a complete online course. you need to watch videos and submit assignments online. we will guide on phone and v calls.
in the mandatory python assignment the 4th qn code has to be written for real time inputs or for only those two student and marks inputs?,implement code on the given data. do not use a new dataset to do any assignment.
hi i am 2011 b.tech cse pass out. i do not have any it experience. actually i do not have any experience to show. but i do have some coding skills. i am a good learner. am i eligible to apply and get job.,if you can complete the assignments as per the instructions then we will definitely help you get your dream job.
i do not know whether the companies accept me or nor after this long gap from 2011 to 2020. even after i complete the assignments as per the instructions. did you help anybody like me before with the job? please let me know.,please call us on 91 8106-920-029 or send an email to team@appliedaicourse.com
what is the effect of imbalanced data on logistic regression? i think there is none from geometric point of view in logistic regression we are maximizing the distance of correctly classified point from the hyperplane. how can imbalanced dataset effect this?,refer this
in machine learning roles do we need to implement the algorithms or our own or do we use standard libraries like sklearn? implementing algorithm even after understanding maths behind it is taking a lot of time. should i continue implementing all algorithms or i am better off without doing it?,initially we recommend you to practice using the libraries like sklearn. once after you got a strong command on the internal math you can go ahead with implementing them on your own.
can you tell me if along with the input matrices the row col value could also be attained at the run time or is it like we have to get only the input matrices at run time in mandatory python assignment's 1st qn,the row and the column values should be taken as inputs from the user.
sir i have watched all free videos and decided to enroll for the course but someone suggested me to have some prior knowledge of database structure algorithms and some programming stuffs. as i come from non cs background i do not have knowledge of any of them. so is it good for me to join the course ?,we have covered database concepts and python programming data structures also in this course.
can you please make video on st-gcn?,thanks for the suggestion
hello myself suyash thonte i have read a lot of aaic but the fees is very much costly and i am unable to afford it... i am very much interested in this.. i am from poor background if needed i can share my family income certificate etc details also my less college fees receipt etc... please can i get this course enrolled for like free or very cheaper i really do not want to miss this opportunity but at the same time i cannot afford anything..,hi please drop a mail at team@appliedaicourse.com with your personal details and phone number
i have already sent a mail but still have not recieved any response but here i am getting it quickly... still i will send over more mail,you will get reply within 24hrs.
hello sir i am in ending of my b.e i.e in final year. i have heard of aaic a lot and also have read all excellent reviews as well as success stories i am also interested in enrolling it but after a period of i.e like couple of months in meanwhile i am planning to strengthen my cs fundamentals like ds/algo etc and coding will that be ok/a good decision or should i start it now?,it would be best if you can start now
actually the thing is at the moment right now i can not afford for the fees so i was asking in the mean time will it be better if i cover up the things i mentioned? also as a fresher once competing the course how much package can i expect??,we have an emi option. emi starts at ? 2650 per month. for more info please drop us a mail.
hi. whats is the best way to approach if you have any doubts when doing the assignment?,you can drop a mail at team@appliedaicourse.com or you can chat with us in the assignment's comments section
hi the course is too costly. i can not afford it. can u please make it a little cheaper. i can send u my family income certificate if needed.,please drop a mail at team@appliedaicourse.com
validity of course,1year
hi team i want to know whether i will have access to videos after the course duration is over and what kind of certificate i will get?,you will have access to course videos for 1 year of period starting from the date of joining. you will get course completion certificate after completing all the assignments.
hi i am having 6 years of experience in dot net technology. i want to do transition in data science field from dot net. how good it is for me with 6 years of experience in dot net technology. and have completed m.c.a. in 2014.,just study on do not think of what you have or what you do not have. studying with right attitude make things works.
i want to know about certificates how they can be earned please reply .,once you complete your assignments you are eligible for certificate then you can just drop a mail to team@appliedaicourse.com
lets say i finished the course - after one year period will i have access to new content that are being added?,no the validity is only 365 days.
i really hope aaic change this 365 day model. the course is expensive and i think of it as purchasing a product that i can use after one year period. otherwise the price is just too high for something that can be considered as a rental. i do not mean any disrespect i love teaching style of srikanth sir. he is an absolute brilliant is this field. i keep coming back to this site and pondering due to srikanth sir youtube sessions. i would jump in this course in a heart beat if you change your business model slightly that is allow continued access to content after 1 year to loyal students,please send an email to team@appliedaicourse.com
i am international student - do you guys take paypal to enroll in ml course?,please send an email to team@appliedaicourse.com
i am a commerce graduate and have masters in marketing management with more than 10 years of experience in market research and consumer insights. will this course help me if i want to make a transition into customer analytics side? or is this course more relevant for engineers / science students only?,yes it can help if you can put long hours
will i be able to watch the content after 1 year for revision purpose.,no but please drop a mail at team@appliedaicourse.com
what's the validity of this course?,the course validity is for 1 year. within this 1 year you are supposed to complete all the assignments.
hi team can i know the eligibility criteria for enrolling into this course,please call us at 0-8106-920-029 so that we can clarify all your queries.
in the windows application clicking 'ctrl' '-' has zoomed out of the web page but 'ctrl' ' ' is not zooming in . please help,please try with ctrl only not ctrl .
could you tell the average salary per annum the students received getting placed via this course please? could you tell few companies where students got placed through this course?,for companies you can visit success stories page on our website. for other details please send an email to team@appliedaicourse.com
sir i want to know am i get any certification after completing the course?,yes once after you finish all the assignments in this course and get them successful evaluated you will receive a course completion certificate from appliedai and you can add it on your resume.
hello team while looking at some code i came across something like this yield a b where a is an array and b func some function . what is the meaning of star in this?,check this
hi team can i get some written notes/shorthand book type of things to revise time to time the completed topics also to quickly revise the topics before any interview. thanks binit,please go to this link. we suggest to make your own notes as it helps better.
hi there is a primary but important query. i have watched most of your free videos and i found it so useful than any other videos available on youtube. specially the teaching technique is so simple and comprehensive. for almost one and half years i have been searching for a proper and easy way of understanding for data science course keeping the course fees and job assurance in mind. before taking the course i want to let you know that currently i am working in a company and i want to pursue my career in data science but i am weak in mathematics and i have no prior programming knowledge but having all the contraries i am not afraid of working hard if i get proper guidance. please suggest me whether i should take this course or anything else advice you can give me. i would be grateful for this.,mathematics required for data science has been explained in simple language and we have python chapter required for data science too. it will be a good learning experience
hello team i have seen object detection using yolo v3 video and my question is: how to create labels for custom dataset?,please refer these links : https://www.youtube.com/watch?v egqydla8jnu https://towardsdatascience.com/build-a-custom-trained-object-detection-model-with-5-lines-of-code-713ba7f6c0fb
i justed joined this course today...can u plz tell me how and from where to start??,please follow the syllabus do not skip any chapter.
i have some doubts with question 7 of assignment 3 mandatory python : the question was to smoothed the curve: eg given: _ _ 30 _ _ _ 50 _ _ sol: 10 10 12 12 12 12 4 4 4 my doubt is what about this case: eg: _ _ 30 _ _ _ 40 150 60 30 _ _ 50 _ _ what should the smoothed output here? can you please help. if this is the wrong platform to ask assignment related questions? can you please redirect it to me?,please drop us a mail at team@appliedaicourse.com regarding assignments.
hello all i just came across a nice open source https://github.com/eriklindernoren/ml-from-scratch?fbclid iwar3kqpeeuxn8zwgv0ziyf9w_qxbepej3_y1lsgknoducljchksja8mlcmrk classification-with-cnn might be helpful,thanks for sharing.
in the 6th module do we build those projects shown as case study?,yes we teach the concepts and ask you to perform similar other tasks.
can i get this course for free somehow as i belong to a middle class family and i dont have the required funds to give a lot of money and i want to learn and i dont want the money become barrier in my education.,please drop an email at team@appliedaicourse.com
what is the difficulty level of the assignments?,if you understand the theory well it is very easy to follow the step by step instructions given under each assignment.
where can i drop emails about doubts on assignments,you can send them to team@appliedaicourse.com
i have around 8 experience in automotive and auto ancillary sector .want to learn data science .i have done lots of search and final got ur course info. hope the person like me with no experience of it can make a transction to data world through your course .,happy learning
sir in this course completion certificate will be there or not,yes once after you complete all the assignments and after successful evaluation you will get a course completion certificate.
hello sir first of all thank you so much for providing such content. i really want to buy this course could you please help me to go through this process.,yes we will help you along the way throughout the course. for further queries please drop a mail at team@appliedaicourse.com.
how can we get in touch with someone to get better understanding of the program and get career guidance for enrolling? how many projects and case studies is included in the program and the duration to complete everything?,please drop a mail regarding your query at team@appliedaicourse.com so that we can help you better
it will be helpful if we get search option by subject within the course videos.,if you are referring to the comments then we already have search option in the comments section.
no i am asking for the global search option within the course contents.,we will try to add global search option within the course contents.
can you please provide optimized codes for the assignments as soon as you receive answer copies of assignments from students so that students can compare their codes with the optimized ones?,we will look into your suggestion
video sound is too low. but its okay with other sites. please check on that,please use chrome extensions https://chrome.google.com/webstore/detail/volume-booster/ejkiikneibegknkgimmihdpcbcedgmpo
how long it would take to complete the course if i spend 3 to 4 hrs per day?,go to the schedule tab or link at website and fill the form we will send you the schedule as per your investing hours
i am looking for the data science. in that case do i need to complete entire course or only 1 and 2nd module. i as data science written in front of them. i please suggest,you have to complete the entire course.
sir i have completed and applied ml algorithms i got 96 accuracy in logistic regression but got only 26 accuracy when run the model in unseen datasets could explain? i think due to overfitting and how to overcome it could you resolve,please mention the train and cv scores. it is difficult to answer without context. 1. for balanced dataset: assuming your dataset is balanced i. if train and cv accuracy are similar and the test accuracy is low then there may be some data leakage issue from cv to train due to which it is overfitting to the train and cv datasets. ii. if train and cv accuracy are dissimilar and the test accuracy is low then there may be some high variance issue that is the model is overfitted to the training dataset and no leakage issue.
sir how can i download the video lecture jupyter notebook?,yes you can download the ipython notebooks. for those lectures in which we have discusssed the code part just below the video player you will find a hyperlink to download the ipython notebook associated with that lecture.
i love the way it was altered this course. but when i download the course syllabus 'download syllabus' the syllabus is still old structure of the course. if possible please correct this. thank you in advance.,thank you for the feedback. we will rectify it.
hello team.. is there any lecture plan for log analysis i have been trying to read online materials but not able to make a sense out of it.. it will be great to have verma sir shed some light on this topic so that we could head start in right direction.. please consider this as my humble request.. :,please drop us a mail at team@appliedaicourse.com regarding the same.
how does the placement assistance work for aaic? i am in my third year and would like to enroll in the machine learning course.,as you finish your mandatory assignments in the course within 1 year we forward your resume to employers and help you to crack interviews by 2 mock interviews internally.
hi sir could you please help me to provide the python code for demand forecasting and price optimisation project code in python.,no we can not provide you the direct project code. you should be solving the problem by yourself if you get stuck anywhere we can help you out for that specific problem.
i am interested in this course would any assistance in job search be provided in usa or is it only restricted to india? i am currently located in usa on h1b,please contact us at 91-8106-920-029. you also can reach us at team@appliedaicourse.com and please do not forget to mention your contact number.
now that i have completed the course and got certified awaiting my placements i feel so proud of myself for joining this course and let me tell you the concepts and depth you guys go to is just mesmerizing simply just the knowledge you guys have and the way you share it any newbie person go from zero to hero after this course. i have seen the course expand when i joined on apr 2019 and till today the contents the live sessions have been so helpful it seems finally being a cs student i am making some progress in actually learning what is the best use of a machine is. thank you guys for making such beautiful and elegant content. nothing can beat aaic in the coming years. i wish you guys grow to be the most successful training content makers there is.,thank you for the feedback
iam unable to access my course assignments i used my login credentials to login into aaic class room showing invalid.??,please drop us the mail at team@appliedaicourse.com
sir what is this slack,refer this
do we get lifetime access to the content?,no. it's valid for only 1 year.
i have 12 years of working experience in it industry. i am looking for a aiml course in different institute. it seems this course is mostly for new joiners ...will this course be useful to those folks who have 10 software coding experience like me...,yes definitely. we cover basic to advanced topics/sota like densenet yolo v3 etc. and provide mentorship for the students to help them build a very strong portfolio wrt your past career. please watch the video.
sir in which framework you teach this such as pytorch tensorflow..sir i also able to participate in kaggle competition after this course.,we typically use tensorflow and keras. yes you can participate
hello applied ai team i have a dought that wheather this course has covered coding or only theory is there please inform,code which we encounter throughout the course has been explained
if i am unable to complete all assignments still can i sit for placement?,we need to complete all those assignments
hi the videos here are well ordered. but i am lost when it comes to deciding which assignment is associated with which chapter. i cannot decide whether to go for the next assignment after completing a chapter here or whether the assignment requires me to complete some other chapter. it would be better if in the assignment instructions in classroom the chapters which need to be completed here are mentioned for each assignment,why do not you cover each chapter one by one as each leacture at end explain what assignment to do. if you asking this query it means you have not gone through videos well enough.
will u provide any degree certificate??,we will provide you course completion certificate.
duration and how many months will it take to cpmlete the course,it depends upon your effort but for some reference please use https://docs.google.com/forms/d/e/1faipqlsd0sz_i3mwxvsasej4j2auv9laylqoetzglx4yv-tytf8p0yq/viewform
sir i am confused actually i passed bca from ignou in 2019. initially i am confused to do masters and looking for job whether my mind strike for applied ai course and do work hard and get job. really confused in the situation.... help me out?,do checkout free videos and take a call. it will definately boost your career in datascience area
could you tell what do you mean by case studies is it projects?,yes they are projects for the real world problems you have to create ml model for solving those problems along with eda pre processing tuning etc. you can check it module 6 for the same.
hey are there any projects that we do in this course?,yes there are case studies as real word problems that you will have to do along with 2 self case studies.
i want to learn artificial intelligence in depth. but before diving deep into it i want to get a detailed overview of it. can you suggest me a resource where it is explained in layman terms without getting into maths. hope i m nt being silly here.,well we have provided the overview of ai deep learning machine learning data science. it's enough to have that much knowledge. i would suggest you get on to real stuff without worrying much about ai as special.
hello sir i m currently working in mechanical fields from past 2 years. i want to switch in it field i am interested in data science in python. is it possible to get job for mechanical engineers.?? and if get then what will be the average package?? my mail id - tusharchavhan111196@gmail.com cell no.-7276274187,please drop a mail at team@appliedaicourse.com for detailed enquiry. we will help you with your queries.
hello team in a neural network when i was using relu as my activation function the discriminant the boundary had sharp edges but when i used tanh it had smooth edges. what is the reason for it. website: neural network playground: concentric circle dataset task: classification thank you in advance.,relu takes lot of piecewise linear functions to fit as compared to tanh so this sharp edges. refer to 'michael lee' comment here
sir can i complete course with amd a6-7310 apu with amd radeon r4 graphics and 4.00 gb ram ?,yes you can complete. for deep learning assignments you might need to use google colab
please add robotic process automation live sessions to give us an overview of rpa.,thanks for the suggestion
could you please add which modules are required for completing an assignment in the assignment. helps in preparing better,every topic in this course has an assignment and we recommend you to complete the video lectures of a topic first and then attempt the assignment associated with that topic. please do not skip any video and follow all the videos as the order in which they appear on the website.
dear team please try to add below 3 sections in website: 1. view all pending videos 2. view all questions added by me by current user 3. book mark videos for revision thanks.,thanks for the suggestion
hi can i get some written notes of this course to revise the material. or please provide me the book name relevant to this course. my email id: karunrp2399@gmail.com regards karun,we provide the ipython notebooks as a part of the course. we recommend the students to prepare their own notes while going through the lectures itself and also we advise them to refer to the wikipedia and some books so that their command on the topics could become much more stronger.
